,ind1,ind2,combined
117,DEFENSE AND SPACE,AEROSPACE AND DEFENSE,DEFENSE AND SPACE|AEROSPACE AND DEFENSE
118,INSURANCE,DIVERSIFIED FINANCIAL SERVICES,INSURANCE|DIVERSIFIED FINANCIAL SERVICES
119,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
120,BANKING,BANKS,BANKING|BANKS
121,DEFENSE AND SPACE,INTERNET SOFTWARE AND SERVICES,DEFENSE AND SPACE|INTERNET SOFTWARE AND SERVICES
122,LEGAL SERVICES,SPECIALIZED CONSUMER SERVICES,LEGAL SERVICES|SPECIALIZED CONSUMER SERVICES
123,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
124,TRANSPORTATION/TRUCKING/RAILROAD,"HOTELS, RESTAURANTS AND LEISURE","TRANSPORTATION/TRUCKING/RAILROAD|HOTELS, RESTAURANTS AND LEISURE"
125,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
126,FINANCIAL SERVICES,INSURANCE,FINANCIAL SERVICES|INSURANCE
127,RESTAURANTS,FOOD PRODUCTS,RESTAURANTS|FOOD PRODUCTS
128,INFORMATION TECHNOLOGY AND SERVICES,PROFESSIONAL SERVICES,INFORMATION TECHNOLOGY AND SERVICES|PROFESSIONAL SERVICES
129,HIGHER EDUCATION,DIVERSIFIED CONSUMER SERVICES,HIGHER EDUCATION|DIVERSIFIED CONSUMER SERVICES
130,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
131,UTILITIES,DIVERSIFIED CONSUMER SERVICES,UTILITIES|DIVERSIFIED CONSUMER SERVICES
132,ELECTRICAL/ELECTRONIC MANUFACTURING,PHARMACEUTICALS,ELECTRICAL/ELECTRONIC MANUFACTURING|PHARMACEUTICALS
133,FINANCIAL SERVICES,DIVERSIFIED FINANCIAL SERVICES,FINANCIAL SERVICES|DIVERSIFIED FINANCIAL SERVICES
134,MUSEUMS AND INSTITUTIONS,"HOTELS, RESTAURANTS AND LEISURE","MUSEUMS AND INSTITUTIONS|HOTELS, RESTAURANTS AND LEISURE"
135,INFORMATION TECHNOLOGY AND SERVICES,DIVERSIFIED FINANCIAL SERVICES,INFORMATION TECHNOLOGY AND SERVICES|DIVERSIFIED FINANCIAL SERVICES
136,GOVERNMENT ADMINISTRATION,COMMERCIAL SERVICES AND SUPPLIES,GOVERNMENT ADMINISTRATION|COMMERCIAL SERVICES AND SUPPLIES
137,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
138,HIGHER EDUCATION,INTERNET SOFTWARE AND SERVICES,HIGHER EDUCATION|INTERNET SOFTWARE AND SERVICES
139,AVIATION AND AEROSPACE,AEROSPACE AND DEFENSE,AVIATION AND AEROSPACE|AEROSPACE AND DEFENSE
140,HIGHER EDUCATION,EDUCATION SERVICES,HIGHER EDUCATION|EDUCATION SERVICES
141,RETAIL,EDUCATION SERVICES,RETAIL|EDUCATION SERVICES
142,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
143,EDUCATION MANAGEMENT,INTERNET SOFTWARE AND SERVICES,EDUCATION MANAGEMENT|INTERNET SOFTWARE AND SERVICES
144,LAW PRACTICE,SPECIALIZED CONSUMER SERVICES,LAW PRACTICE|SPECIALIZED CONSUMER SERVICES
145,FINANCIAL SERVICES,DIVERSIFIED CONSUMER SERVICES,FINANCIAL SERVICES|DIVERSIFIED CONSUMER SERVICES
146,OIL AND ENERGY,GAS UTILITIES,OIL AND ENERGY|GAS UTILITIES
147,HOSPITAL AND HEALTH CARE,PHARMACEUTICALS,HOSPITAL AND HEALTH CARE|PHARMACEUTICALS
148,HIGHER EDUCATION,PROFESSIONAL SERVICES,HIGHER EDUCATION|PROFESSIONAL SERVICES
149,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
150,BUSINESS SUPPLIES AND EQUIPMENT,PROFESSIONAL SERVICES,BUSINESS SUPPLIES AND EQUIPMENT|PROFESSIONAL SERVICES
151,HIGHER EDUCATION,PROFESSIONAL SERVICES,HIGHER EDUCATION|PROFESSIONAL SERVICES
152,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
153,CONSUMER GOODS,INTERNET SOFTWARE AND SERVICES,CONSUMER GOODS|INTERNET SOFTWARE AND SERVICES
154,LOGISTICS AND SUPPLY CHAIN,AIR FREIGHT AND LOGISTICS,LOGISTICS AND SUPPLY CHAIN|AIR FREIGHT AND LOGISTICS
155,TELECOMMUNICATIONS,COMMUNICATIONS EQUIPMENT,TELECOMMUNICATIONS|COMMUNICATIONS EQUIPMENT
156,HIGHER EDUCATION,EDUCATION SERVICES,HIGHER EDUCATION|EDUCATION SERVICES
157,PUBLISHING,MEDIA,PUBLISHING|MEDIA
158,HIGHER EDUCATION,EDUCATION SERVICES,HIGHER EDUCATION|EDUCATION SERVICES
159,"LEISURE, TRAVEL AND TOURISM","HOTELS, RESTAURANTS AND LEISURE","LEISURE, TRAVEL AND TOURISM|HOTELS, RESTAURANTS AND LEISURE"
160,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
161,MEDICAL PRACTICE,HEALTH CARE PROVIDERS AND SERVICES,MEDICAL PRACTICE|HEALTH CARE PROVIDERS AND SERVICES
162,PROGRAM DEVELOPMENT,DIVERSIFIED CONSUMER SERVICES,PROGRAM DEVELOPMENT|DIVERSIFIED CONSUMER SERVICES
163,INSURANCE,PHARMACEUTICALS,INSURANCE|PHARMACEUTICALS
164,INFORMATION TECHNOLOGY AND SERVICES,DIVERSIFIED FINANCIAL SERVICES,INFORMATION TECHNOLOGY AND SERVICES|DIVERSIFIED FINANCIAL SERVICES
165,ENTERTAINMENT,"HOTELS, RESTAURANTS AND LEISURE","ENTERTAINMENT|HOTELS, RESTAURANTS AND LEISURE"
166,EDUCATION MANAGEMENT,PROFESSIONAL SERVICES,EDUCATION MANAGEMENT|PROFESSIONAL SERVICES
167,GOVERNMENT ADMINISTRATION,DIVERSIFIED CONSUMER SERVICES,GOVERNMENT ADMINISTRATION|DIVERSIFIED CONSUMER SERVICES
168,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
169,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
170,HIGHER EDUCATION,PROFESSIONAL SERVICES,HIGHER EDUCATION|PROFESSIONAL SERVICES
171,RETAIL,"TEXTILES, APPAREL AND LUXURY GOODS","RETAIL|TEXTILES, APPAREL AND LUXURY GOODS"
172,PHARMACEUTICALS,PHARMACEUTICALS,PHARMACEUTICALS|PHARMACEUTICALS
173,INFORMATION TECHNOLOGY AND SERVICES,PROFESSIONAL SERVICES,INFORMATION TECHNOLOGY AND SERVICES|PROFESSIONAL SERVICES
174,HIGHER EDUCATION,DIVERSIFIED CONSUMER SERVICES,HIGHER EDUCATION|DIVERSIFIED CONSUMER SERVICES
175,CONSTRUCTION,CONSTRUCTION AND ENGINEERING,CONSTRUCTION|CONSTRUCTION AND ENGINEERING
176,RESEARCH,PROFESSIONAL SERVICES,RESEARCH|PROFESSIONAL SERVICES
177,HIGHER EDUCATION,EDUCATION SERVICES,HIGHER EDUCATION|EDUCATION SERVICES
178,HIGHER EDUCATION,PROFESSIONAL SERVICES,HIGHER EDUCATION|PROFESSIONAL SERVICES
179,GOVERNMENT ADMINISTRATION,HEALTH CARE PROVIDERS AND SERVICES,GOVERNMENT ADMINISTRATION|HEALTH CARE PROVIDERS AND SERVICES
180,GOVERNMENT ADMINISTRATION,EDUCATION SERVICES,GOVERNMENT ADMINISTRATION|EDUCATION SERVICES
181,HOSPITAL AND HEALTH CARE,PHARMACEUTICALS,HOSPITAL AND HEALTH CARE|PHARMACEUTICALS
182,MARKETING AND ADVERTISING,MEDIA,MARKETING AND ADVERTISING|MEDIA
183,COMPUTER NETWORKING,DIVERSIFIED FINANCIAL SERVICES,COMPUTER NETWORKING|DIVERSIFIED FINANCIAL SERVICES
184,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
185,TRANSPORTATION/TRUCKING/RAILROAD,"HOTELS, RESTAURANTS AND LEISURE","TRANSPORTATION/TRUCKING/RAILROAD|HOTELS, RESTAURANTS AND LEISURE"
186,COMPUTER SOFTWARE,UTILITIES,COMPUTER SOFTWARE|UTILITIES
187,GOVERNMENT ADMINISTRATION,"HOTELS, RESTAURANTS AND LEISURE","GOVERNMENT ADMINISTRATION|HOTELS, RESTAURANTS AND LEISURE"
188,TEXTILES,CONSTRUCTION AND ENGINEERING,TEXTILES|CONSTRUCTION AND ENGINEERING
189,HIGHER EDUCATION,INTERNET SOFTWARE AND SERVICES,HIGHER EDUCATION|INTERNET SOFTWARE AND SERVICES
