,total_score,industry
2964,2.46,"Brokerage,Finance,Credit Cards & Transaction Processing"
2965,3.41,Entertainment
2966,3.47,Computer Software
2967,4.4,Information Technology and Services
2968,3.42,Outsourcing/Offshoring
2969,10.48,Oil & Energy
2970,10.48,Design
2972,10.48,"Software Development & Design,Software,Custom Software & Technical Consulting"
2973,10.47,"K-12 Schools,Education"
2974,3.44,Marketing and Advertising
2975,10.47,Internet
2976,3.47,Internet
2979,3.43,Information Technology and Services
2980,3.46,Information Technology and Services
2981,4.36,Computer software
2982,2.45,"Rail, Bus & Taxi,Transportation"
2983,3.49,Computer Software
2984,3.43,Banking
2985,3.43,Banking
2986,10.47,Consumer Electronics
2987,3.47,Marketing and Advertising
2988,3.43,Banking
2989,3.43,Banking
2990,3.44,Computer Software
2992,10.48,Education Management
2993,3.48,Information Technology and Services
2994,3.47,Marketing and Advertising
2995,3.48,Computer software
2996,3.38,Automotive
2997,3.43,Information Technology and Services
2998,3.43,Information Technology and Services
2999,3.43,Information Technology and Services
3000,10.49,Management Consulting
3001,3.43,archetechand planning
3002,2.45,"
Internet"
3003,4.47,Marketing and Advertising
3004,3.46,Consumer Goods
3005,3.51,/market and research
3006,3.35,Design
3007,3.45,Computer Software
3008,3.43,Financial Services
3009,3.43,Financial Services
3010,3.43,Financial Services
3011,3.43,Financial Services
3012,3.43,Graphic Design
3013,5.26,Information Technology and Services
3014,4.45,Renewables & Environment
3015,3.46,Real State
3016,3.42,Financial Services
3017,2.45,Marketing and Advertising
3018,4.43,"Telecommunications,Telephony & Wireless"
3019,4.4,Wireless
3020,3.43,Banking
3021,3.45,Human recources
3022,3.46,Computer Games
3023,10.48,"Software Development & Design,Software,Custom Software & Technical Consulting"
3024,10.46,internet
3025,3.41,"Computer Storage Equipment,Computer Equipment & Peripherals,Manufacturing,Custom Software & Technical Consulting,Software,Storage & System Management Software,Software Development & Design"
3026,3.47,Financial Services
3027,3.47,"Health, Wellness and Fitness"
3028,3.36,Computer Software
3030,3.45,Human Resources
3031,10.47,Information Technology and Services
3032,10.47,Marketing and Advertising
3033,3.47,"Aerospace & Defense,Manufacturing"
3034,10.46,Computer Games
3035,10.47,Computer software
3036,3.47,Marketing and Advertising
3038,10.47,"Consumer Electronics,Consumer Goods,Manufacturing,Boats & Submarines,Commercial & Residential Construction,Water & Water Treatment,Construction,Energy, Utilities & Waste Treatment,Semiconductor & Semiconductor Equipment,Electronics"
3039,3.46,Information Technology and Services
3040,3.47,Financial Services
3041,10.48,"Call Centers & Business Centers,Business Services"
3042,3.44,Computer Software
3043,3.44,Marketing and Advertising
3046,3.46,Computer & Network Security
3047,3.48,Higher Education
3048,10.47,Information Technology and Services
3049,3.48,Higher Education
3050,4.51,Information Technology and Services
3051,10.49,Computer Software
3052,3.47,Market Research
3053,3.46,"Software Development & Design,Software,Engineering Software,Financial, Legal & HR Software"
3054,10.47,Computer Software
3055,3.45,Internet
3056,2.45,Finacial Services
3057,10.47,Marketing and Advertising
3058,10.47,Computer Games
3059,10.45,Computer Software
3060,10.47,Computer software
3061,3.39,Internet
3062,10.48,Computer Software
3064,2.48,Financial Services
3065,3.47,Information Technology and Services
3066,10.47,"Consumer Electronics,Consumer Goods,Manufacturing,Boats & Submarines,Commercial & Residential Construction,Water & Water Treatment,Construction,Energy, Utilities & Waste Treatment,Semiconductor & Semiconductor Equipment,Electronics"
3067,10.46,"Software Development & Design,Software"
3068,3.45,Entertainment
3070,3.47,"Human Resources & Staffing,Business Services"
3071,3.47,Computer Software
3074,10.45,Computer Software
3075,3.45,"Colleges & Universities,Education"
3076,4.44,"Software Development & Design,Software,Financial, Legal & HR Software,Accounting & Accounting Services,Business Services,Engineering Software"
3077,10.45,Computer Software
3078,3.4,Computer Software
3079,3.39,Biotechnology
3080,3.5,Computer Games
3081,3.32,Computer software
3082,3.47,Information Services
3083,2.47,"Medical Devices & Equipment,Manufacturing"
3084,3.45,Insurance
3085,3.49,Information technology consultancy activities 
3086,2.45,Computer Software
3087,3.45,Financial Services
3088,2.45,"Hospitals & Clinics,Healthcare,Medical Testing & Clinical Laboratories"
3089,4.4,"Medical Devices & Equipment,Manufacturing,Medical Testing & Clinical Laboratories,Healthcare"
3090,10.48,Computer software
3091,3.45,Computer Software
3092,10.47,Computer Software
3093,3.46,Marketing and Advertising
3094,3.43,"
Internet"
3095,10.47,Information Services
3096,10.49,Music
3097,3.35,Restaurants
3098,10.39,"Software Development & Design,Software,Engineering Software,Consumer Electronics,Consumer Goods,Telecommunication Equipment,Manufacturing"
3101,4.43,"Fitness & Dance Facilities,Recreation,Hospitality"
3102,3.45,financial services
3103,3.45,"Software Development & Design,Software,Computer Storage Equipment,Computer Equipment & Peripherals,Manufacturing,Business Services,Storage & System Management Software"
3104,3.46,Research
3105,3.39,"Airlines, Airports & Air Services,Transportation"
3106,3.47,Information technology and services
3107,3.4,Law enforcement
3108,3.47,comsumer electronics
3109,3.44,computer software
3110,2.46,Publishing
3111,3.46,Computer Software
3112,10.47,"K-12 Schools,Education"
3113,3.4,internet
3114,10.47,internet
3115,3.46,Computer Software
3116,3.45,Computer Software
3117,4.45,"Software Development & Design,Software,Information & Document Management,Business Services,Engineering Software,Enterprise Resource Planning Software(ERP)"
3118,2.4,Information Services
3119,3.47,Computer Games
3120,3.47,Mobile Applications
3122,3.45,"Internet
"
3123,3.41,computer software
3124,3.46,Information Technology and Services
3125,3.45,Electrical/Electronic Manufacturing
3126,10.47,financial services
3127,2.45,Computer Software
3128,10.44,Media production
3129,3.44,Investment Management
3130,3.41,Marketing and Advertising
3131,3.44,"Custom Software & Technical Consulting,Software,Credit Cards & Transaction Processing,Finance"
3132,4.44,Marketing and Advertising
3133,10.47,Computer Software
3135,3.46,"Human Resources & Staffing,Business Services"
3136,4.44,Public Relations and Communications
3137,3.48,Internet
3138,3.43,Computer Software
3139,3.43,goverment administration
3140,10.46,Online media
3141,3.44,Marketing and advertising
3142,3.38,staffing and recruiting
3143,10.46,Information Technology and Services
3144,10.41,Internet
3145,10.48,Information Technology and Services
3146,3.47,Hospital & Health Care
3147,10.47,Computer Games
3148,3.49,Information Technology and Services
3149,3.45,Printing
3150,3.36,Internet
3151,3.44,Information Technology and Services
3152,3.38,Computer Software
3153,10.48,Education Management
3155,10.49,Professional Training & Coaching
3156,3.45,Computer Software
3157,3.47,Internet
3159,3.41,Real Estate
3160,3.48,Computer Software
3161,3.45,Marketing and Advertising
3162,3.37,Telecommunications
3163,3.45,Electrical/Electronic Manufacturing
3164,3.44,Mechanical or Industrial Engineering
3165,3.44,Consumer Goods
3166,3.48,Computer Software
3169,3.47,Retail
3170,3.46,Marketing and Advertising
3171,10.46,Computer software
3172,3.44,Music
3174,3.46,Music
3175,3.42,"Information Technology and Services
"
3176,3.45,Internet
3177,3.45,Financial Services
3178,10.46,"Internet
"
3179,3.47,Computer Software
3181,3.42,Wholesale
3182,3.45,San Francisco Bay Area
3183,10.49,Program Development
3184,3.42,Information Technology and Services
3185,3.39,Wholesale
3186,3.47,Information Technology and Services
3187,10.46,Computer Software
3188,3.43,Information Technology and Services
3189,10.46,Computer Software
3190,10.47,Information Technology and Services
3191,3.46,Market Research
3194,3.46,staff and recruiting
3195,3.43,Computer Software
3197,3.43,Information Technology and Services
3198,3.46,Information Technology and Services
3199,3.46,E-Learning
3200,3.44,Internet
3201,3.45,Civic & Social Organization
3202,3.44,Internet
3203,10.49,Computer Software
3204,10.47,Internet
3205,3.46,Computer Software
3206,3.45,"Power Conversion & Protection Equipment,Electronics,Manufacturing"
3207,10.44,Internet
3208,2.47,Mobile Applications
3209,3.43,Computer Software
3210,10.47,Online Media
3211,10.48,Information Technology and Services
3212,3.42,Computer Software
3213,3.4,"Marketing and Advertising
"
3214,3.41,"Information Technology and Services
"
3215,3.45,Higher Education
3216,3.45,"Hospital & Health Care
"
3217,3.44,"Hospital & Health Care
"
3218,10.45,Online Media
3219,3.44,Financial Services
3220,3.36,Information Technology and Services
3221,10.47,Internet
3222,3.43,Computer Hardware
3224,3.46,"Telephony & Wireless,Telecommunications,Engineering Software,Software Development & Design,Software"
3225,10.48,Internet
3226,3.38,Media company
3227,3.47,Internet
3228,3.37,Sports
3229,10.47,Transportation/Trucking/Railroad
3230,3.42,Financial Services
3231,3.34,Restaurants
3232,10.45,Online Media
3234,3.43,"Search Engine, Identity Management, SEO, Social Media, Advertising, Local, Mobile"
3235,2.44,Internet
3236,10.45,Computer software
3237,10.47,Computer Software
3238,10.43,Information Technology and Services
3239,10.48,Online Media
3240,10.85,Outsourcing/Offshoring
3241,3.46,Computer Software
3242,3.46,Computer Software
3243,3.37,Financial Services
3245,10.48,Internet
3246,10.49,Financial Services
3247,3.46,Staffing and Recruiting
3248,3.41,Internet
3249,3.38,Computer Software
3250,4.45,Computer Networking
3252,3.47,"Health, Wellness and Fitness
"
3253,3.39,Internet
3255,3.43,Wireless
3256,3.43,Internet
3257,10.46,Apparel & Fashion
3259,10.46,Information Technology and Services
3260,3.46,Computer Software
3261,10.54,Environmental Services
3262,3.43,Hospital & Health Care
3263,3.38,Hospital & Health Care
3264,10.47,Environmental Services
3265,3.37,Information Technology and Services
3266,10.44,Airlines/Aviation
3267,3.47,Food Production
3269,10.48,Publishing
3270,3.41,"Information Technology and Services
"
3271,10.45,Religious Institutions
3272,3.44,University
3274,10.47,Information Technology and Services
3275,3.44,"Marketing and Advertising
"
3277,3.4,"Management Consulting
"
3278,3.33,Computer Software
3279,10.46,Computer Software
3280,10.45,internet
3281,3.43,"Software Development & Design,Software,Engineering Software"
3282,3.41,Internet
3283,3.44,Computer Software
3285,10.45,Information Technology and Services
3286,3.45,Internet
3287,3.45,Entertainment
3288,3.44,Marketing and Advertising
3290,2.43,Information Technology and Services
3291,10.48,Information Technology and Services
3292,10.72,Graphic Design
3293,10.47,Internet
3294,3.39,Internet
3295,10.46,"Colleges & Universities,Education"
3296,3.48,Computer Software
3297,3.41,Computer Software
3299,10.47,Consumer Services
3300,3.43,Events Services
3301,10.4,Computer Software
3302,3.46,Broadcast Media
3303,3.42,Cosmetics
3304,3.36,Financial Services
3305,3.46,Computer Games
3307,2.45,"Information Collection & Delivery,Media & Internet,Finance"
3308,10.46,Computer Software
3309,10.51,Internet
3310,10.47,Computer Software
3311,10.48,Information Technology and Services
3312,3.42,Retail
3313,10.44,Information Technology and Services
3315,3.36,Computer Software
3316,2.4,Computer Software
3317,3.44,Retail
3318,10.47,Political Organization
3319,10.46,Internet
3320,10.44,"Software Development & Design,Software"
3321,3.4,Marketing and Advertising
3323,3.21,Information Technology and Services
3324,3.34,Computer Software
3326,3.46,Information Technology and Services
3327,3.4,Internet
3328,10.53,Internet
3329,3.41,Information Services
3330,3.43,"Credit Cards & Transaction Processing,Finance,Banking"
3331,10.47,Computer Software
3332,10.41,"Human Resources & Staffing,Business Services,Finance"
3333,10.48,Internet
3334,3.48,"Custom Software & Technical Consulting,Software"
3335,10.48,Computer Software
3340,3.39,Marketing and Advertising
3341,3.37,Telecommunications
3342,3.42,Consumer Goods
3343,10.48,Publishing
3344,10.47,Information Technology and Services
3345,10.45,Consumer Services
3346,10.48,Information Technology and Services
3347,3.43,Human Resources
3348,10.47,Computer Software
3349,3.48,Biotechnology
3350,3.44,Retail
3351,10.48,"Personal Computers & Peripherals,Computer Equipment & Peripherals,Manufacturing,Consumer Electronics & Computers,Retail,Telecommunication Equipment"
3352,3.45,Computer Software
3354,10.46,E-Learning
3355,3.45,internet
3356,3.4,Computer Hardware
3357,3.4,Information Technology and Services
3359,10.45,Pharmaceuticals
3360,3.37,"Computer Software
"
3361,3.43,Computer Software
3362,3.44,Internet
3363,10.48,E-Learning
3365,3.44,"Mental Health Care
"
3366,4.46,Publishing 
3367,3.47,Entertainment
3368,3.4,Marketing and Advertising
3369,3.47,Information Technology and Services
3370,10.47,Computer Software
3371,3.4,"Information Technology and Services
"
3372,3.47,"Publishing,Media & Internet"
3373,3.45,"Transportation/Trucking/Railroad
"
3374,10.42,"Search Engines & Internet Portals,Media & Internet"
3375,3.47,Airlines/Aviation
3376,3.45,Information Services
3377,10.46,Information Technology and Services
3378,3.37,Internet
3379,10.48,Chemicals
3380,3.35,Computer Software
3382,3.47,Outsourcing/Offshoring
3384,3.47,Information Services
3385,10.44,Music
3386,3.44,Information Technology and Services
3387,10.46,Computer Software
3388,10.47,"Newspapers & News Services,Media & Internet"
3389,3.44,"Business Supplies and Equipment
"
3390,10.46,Computer Software
3392,3.38,"Hospital & Health Care
"
3395,3.45,Oil & Energy
3396,10.36,Information Technology and Services
3397,3.44,"Marketing and Advertising
"
3398,10.49,Internet
3399,10.54,Computer Games
3400,10.48,"Information Technology and Services
"
3401,3.37,"Information Technology and Services
"
3402,3.46,"Social Media, Apps, Dating, Mobile"
3403,3.45,"Information Technology and Services
"
3406,3.47,Computer Software
3407,3.45,Internet
3408,3.43,Internet
3409,3.47,"Information Technology and Services
"
3410,3.46,Internet
3411,3.43,Internet
3412,10.47,Computer Software
3413,10.47,"Financial Services
"
3414,3.43,Computer Software
3415,10.46,Internet
3417,3.47,Computer Software
3418,3.45,Home Furnishing Retail
3420,3.44,Internet
3421,3.45,Online Media
3422,3.44,Financial Services
3423,3.36,"Health, Wellness and Fitness"
3424,10.45,Computer Software
3426,3.29,"Publishing,Media & Internet"
3427,3.45,Computer Software
3428,10.49,Computer Software
3429,3.4,Marketing and Advertising
3432,3.45,Apparel & Fashion
3433,3.44,"Advertising & Marketing,Business Services,Software Development & Design,Software,Search Engines & Internet Portals,Media & Internet"
3434,3.47,E-Learning
3435,3.43,Music
3436,10.46,Hospital & Health Care
3437,3.47,Retail
3438,3.46,"Leisure, Travel & Tourism"
3439,10.47,Universities
3440,3.44,Marketing and Advertising
3441,3.47,Financial Services
3442,3.47,Consumer Goods
3443,10.36,"Fitness & Dance Facilities,Recreation,Hospitality"
3444,3.37,Retail
3445,10.46,Computer Software
3446,3.45,Telecommunications
3448,3.44,Marketing and Advertising
3449,3.44,Computer Software
3450,10.47,Computer Software
3451,3.46,Information Technology and Services
3453,3.43,Internet
3455,3.32,Information Technology and Services
3456,10.47,Computer Software
3457,3.47,Internet
3459,3.43,Information Technology and Services
3460,3.44,Marketing and Advertising
3461,10.45,Internet
3462,3.46,Information Technology and Services
3463,3.4,Computer Software
3464,2.31,Computer Software
3465,3.42,Computer Software
3466,10.47,Information Technology and Services
3467,10.49,Computer Software
3468,3.4,E-Learning
3469,3.45,Information Technology and Services
3470,3.45,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
3471,3.36,Marketing and Advertising
3472,3.43,Information Technology and Services
3473,3.46,Information Technology and Services
3474,2.44,Computer Software
3475,3.45,Computer Software
3476,3.47,Information Technology and Services
3477,10.47,Information Technology and Services
3478,3.46,Internet
3479,2.42,"Manufacturing,Telecommunication Equipment,Computer Networking Equipment,Computer Equipment & Peripherals,Telecommunications,Internet Service Providers, Website Hosting & Internet-related Services"
3480,3.47,Computer Software
3481,8.46,Computer Network
3482,3.44,internet
3483,3.47,Telecommunications
3484,2.4,"Manufacturing,Telecommunication Equipment,Computer Networking Equipment,Computer Equipment & Peripherals,Business Services"
3485,4.4,"Advertising & Marketing,Business Services,Search Engines & Internet Portals,Media & Internet"
3486,4.44,Media Production
3487,4.52,Telecommunications
3488,3.43,Information Technology and Services
3489,4.48,Internet
3490,4.41,"Software Development & Design,Software,Consumer Electronics,Consumer Goods,Telecommunication Equipment,Manufacturing,Engineering Software"
3492,3.45,Information Technology and Services
3493,4.45,Electrical/Electronic Manufacturing
3494,3.48,Information Technology and Services
3495,3.43,"Telephony & Wireless,Telecommunications"
3496,4.46,"Software Development & Design,Software,Custom Software & Technical Consulting"
3497,4.44,Online Media
3498,2.36,Retail
3499,7.46,Information Technology and Services
3500,10.49,Information Technology and Services
3501,2.39,"Training,Education"
3502,4.5,E-Learning
3504,10.47,Online Media
3505,2.42,Internet
3506,3.43,Computer Games
3507,3.47,Computer Software
3508,2.42,Marketing and Advertising
3509,2.43,Aviation & Aerospace
3510,4.42,Banking
3511,3.44,Information Technology and Services
3512,3.46,Information Technology and Services
3513,3.43,"Custom Software & Technical Consulting,Software,Software Development & Design"
3514,2.42,Telecommunications
3515,2.42,Information Technology and Services
3516,4.46,Computer Software
3517,10.47,"Consumer Electronics,Consumer Goods,Manufacturing,Boats & Submarines,Commercial & Residential Construction,Water & Water Treatment,Construction,Energy, Utilities & Waste Treatment,Semiconductor & Semiconductor Equipment,Electronics"
3518,3.45,Banking
3519,10.48,Government Administration
3520,3.42,Information Technology and Services
3521,10.48,Higher Education
3522,7.42,"Software Development & Design,Software"
3523,4.43,"Software Development & Design,Software,Consumer Electronics,Consumer Goods,Telecommunication Equipment,Manufacturing,Engineering Software"
3524,4.47,Computer Software
3525,3.44,Computer Software
3527,4.45,Information Technology and Services
3528,2.43,Fine Art
3529,2.42,"Custom Software & Technical Consulting,Software"
3530,4.44,"Credit Cards & Transaction Processing,Finance,Custom Software & Technical Consulting,Software"
3531,3.43,Computer Games
3532,4.45,"Health & Nutrition Products,Consumer Goods,Manufacturing,Fitness & Dance Facilities,Recreation,Hospitality"
3533,4.46,Information Technology and Services
3534,7.56,Computer Software
3535,2.43,Telecommunications
3536,4.41,Computer Software
3537,4.53,"Travel Agencies & Services,Consumer Services,Software Development & Design,Software,Search Engines & Internet Portals,Media & Internet"
3538,2.43,Information Services
3539,2.4,Telecommunications
3540,3.47,Information Technology and Services
3541,2.43,Automotive
3542,3.48,"Search Engines & Internet Portals,Media & Internet"
3543,4.45,"Charitable Organizations & Foundations,Organizations,Finance"
3544,4.41,Information Technology and Services
3545,2.43,"Search Engines & Internet Portals,Media & Internet"
3546,2.42,Internet
3547,4.51,"Insurance,Finance"
3548,2.43,"Computer Networking Equipment,Computer Equipment & Peripherals,Manufacturing,Internet Service Providers, Website Hosting & Internet-related Services,Telecommunications"
3549,3.48,"Software Development & Design,Software"
3551,4.45,Internet
3552,4.52,Computer Software
3553,3.43,Chemicals
3555,10.47,Internet
3556,3.44,Airlines/Aviation
3557,2.43,"Leisure, Travel & Tourism"
3558,2.43,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
3559,4.45,"Software Development & Design,Software,Telecommunications"
3561,2.42,Information Technology and Services
3562,3.44,Computer Software
3563,2.47,Hospital & Health Care
3565,4.45,Computer Software
3566,4.38,Telecommunications
3567,2.47,"Software Development & Design,Software,Custom Software & Technical Consulting,Consumer Electronics,Consumer Goods,Telecommunication Equipment,Manufacturing,Customer Relationship Management Software(CRM),Enterprise Resource Planning Software(ERP),Business Intelligence Software(BI),Database & File Management Software,Supply chain management Software(SCM)"
3568,2.42,Financial Services
3569,4.44,Information Technology and Services
3570,4.43,Information Technology and Services
3571,3.46,"Apparel & Accessories,Retail"
3572,3.42,"Freight & Logistics Services,Transportation,Airlines, Airports & Air Services,Trucking, Moving & Storage"
3573,3.45,"Software Development & Design,Software,Finance"
3574,4.45,"Software Development & Design,Software,Personal Computers & Peripherals,Consumer Electronics,Computer Equipment & Peripherals,Consumer Goods,Manufacturing,Computer Storage Equipment,Internet Service Providers, Website Hosting & Internet-related Services,Business Services,Telecommunications,Customer Relationship Management Software(CRM),Supply chain management Software(SCM),Business Intelligence Software(BI)"
3575,3.47,Higher Education
3576,4.44,Computer Hardware
3577,2.42,Gambling & Casinos
3578,3.41,"Training,Education"
3579,4.39,Computer Software
3580,3.47,Computer Games
3581,3.53,"Software Development & Design,Software,Network Security Hardware & Software,Computer Equipment & Peripherals,Manufacturing"
3583,3.43,Telecommunications
3584,4.55,Financial Services
3585,9.43,"Software Development & Design,Software,Consumer Electronics,Consumer Goods,Telecommunication Equipment,Manufacturing,Engineering Software,Business Intelligence Software(BI)"
3586,3.47,"Media & Internet,Search Engines & Internet Portals,Information Collection & Delivery"
3587,4.43,internet
3588,4.44,Computer Software
3589,4.5,Financial Services
3592,3.48,Information Technology and Services
3593,3.48,Computer Software
3594,3.44,"Advertising & Marketing,Business Services"
3595,2.43,Information Technology and Services
3596,4.48,Information Technology and Services
3597,2.38,"Software Development & Design,Software,Power Conversion & Protection Equipment,Cable & Satellite,Electronics,Security Products & Services,Telephony & Wireless,Business Services,Manufacturing,Telecommunications"
3598,4.42,"Investment Banking,Finance"
3599,10.47,"Computer Software
"
3600,3.47,Computer Software
3601,3.4,Marketing and Advertising
3602,3.42,"Telephony & Wireless,Telecommunications"
3603,4.41,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
3604,3.44,Broadcast Media
3605,3.47,Design
3606,2.46,"Telephony & Wireless,Telecommunications,Cable & Satellite"
3608,3.47,Computer Software
3610,3.48,Business Supplies and Equipment
3611,3.47,Internet
3614,10.48,Information Technology and Services
3615,3.42,Computer Software
3616,3.47,Computer Software
3617,3.47,Internet
3618,4.43,Computer Software
3619,3.46,Consumer Electronics
3620,5.14,Internet
3621,10.43,Food Production
3622,4.56,Media Production
3623,3.44,"Software Development & Design,Software,Engineering Software"
3624,4.45,Telecommunications
3625,4.36,Information Technology and Services
3626,4.41,Computer Software
3627,4.42,Internet
3630,4.44,Computer software
3631,4.42,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
3632,3.47,Computer Software
3633,3.43,"Sporting & Recreational Equipment,Retail"
3635,10.46,Computer Software
3636,2.46,Marketing and Advertising
3637,4.42,E-Learning
3638,7.42,Computer Software
3639,3.47,Computer Software
3640,3.42,"Health, Wellness and Fitness"
3641,4.4,Information Technology and Services
3643,3.47,Computer Software
3644,2.46,Internet
3645,3.46,Internet
3646,3.47,"Health, Wellness and Fitness"
3647,3.48,Internet
3648,4.36,"Information Collection & Delivery,Media & Internet,Publishing,Advertising & Marketing,Business Services"
3649,3.41,Information Technology and Services
3650,10.45,Movies & Entertainment
3651,4.42,Information Technology and Services
3652,3.47,Computer Software
3653,4.42,Internet
3654,4.42,"Training,Education,Information & Document Management,Business Services"
3657,3.49,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
3658,3.47,Financial Services
3659,3.43,Information Technology and Services
3660,9.42,Marketing and Advertising
3661,3.43,"Software Development & Design,Software,Custom Software & Technical Consulting,Telecommunications,Engineering Software"
3663,3.46,Online Media
3664,3.47,Computer Networking
3665,10.52,Computer Software
3666,10.47,Comnsumer Services
3667,4.45,Internet
3668,4.41,"Credit Cards & Transaction Processing,Finance"
3670,2.39,"Information Collection & Delivery,Media & Internet,Search Engines & Internet Portals"
3671,10.49,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
3672,2.47,Management Consulting
3675,10.47,Internet
3676,2.46,Industrial Automation
3677,4.44,"Chemicals,Chemicals, Petrochemicals, Glass & Gases,Manufacturing"
3678,4.42,Financial Services
3679,3.47,Financial Services
3680,10.48,Hospital & Health Care
3681,3.44,Computer Software
3682,3.48,Apparel & Fashion
3683,3.42,Information Technology and Services
3684,3.48,Information Technology and Services
3685,3.47,"Software Development & Design,Software,Search Engines & Internet Portals,Media & Internet,Retail Software"
3686,10.47,Computer Software
3687,4.47,Financial Services
3688,2.47,Marketing and Advertising
3689,10.48,Computer Software
3690,3.47,"Bachelor of Business Administration (B.B.A.), Management Information Systems, General"
3691,10.51,Computer Software
3693,3.45,"Custom Software & Technical Consulting,Software,Information & Document Management,Business Services"
3694,3.44,Information Technology and Services
3696,2.43,Sporting Goods
3697,3.42,Internet
3699,4.47,Information Technology and Services
3700,3.42,Computer Software
3701,3.42,Printing
3702,2.39,Sporting Goods
3703,2.48,Marketing and Advertising
3704,2.47,"Cleaning Products,Consumer Goods,Manufacturing"
3705,10.48,"Software Development & Design,Software,Custom Software & Technical Consulting"
3706,3.38,"Charitable Organizations & Foundations,Organizations,Publishing,Media & Internet,Religious Organizations"
3707,3.45,Computer software
3708,3.45,Computer Software
3709,2.44,product management
3710,3.44,"Software Development & Design,Software,Biotechnology,Pharmaceuticals,Healthcare"
3712,4.4,Consumer Electronics
3713,3.46,Public Policy
3714,10.46,Computer software
3715,3.46,Information Technology and Services
3717,3.44,"Auctions,Business Services,Motor Vehicle Dealers,Retail"
3718,3.44,Airlines/Aviation
3721,3.45,Information Technology and Services
3722,3.47,Marketing and Advertising
3723,10.45,Information Technology and Services
3725,3.45,"Software Development & Design,Software"
3726,3.47,Design
3727,3.47,Computer software
3728,2.44,"Software Development & Design,Software"
3729,10.47,Computer software
3730,3.45,Machinery
3731,10.47,Financial Services
3732,10.54,internet
3733,3.37,Financial Services
3734,2.47,Government Administration
3735,4.39,"Finance,Brokerage,Investment Banking"
3736,3.47,Medical Devices
3737,3.43,Internet
3738,3.44,Business Supplies and Equipment
3739,10.48,Internet
3741,4.47,"Personal Computers & Peripherals,Computer Equipment & Peripherals,Manufacturing,Software Development & Design,Software,Consumer Electronics,Consumer Goods,Custom Software & Technical Consulting,Network Security Hardware & Software"
3742,2.43,Internet
3743,3.43,fiancial services
3744,3.39,Computer Software
3745,10.4,Legal Services
3746,3.42,Computer software
3747,3.46,"Information & Document Management,Business Services"
3748,2.47,Telecommunications
3749,3.45,"Credit Cards & Transaction Processing,Finance"
3750,10.49,"Software Development & Design,Software,Personal Computers & Peripherals,Computer Equipment & Peripherals,Manufacturing,Consumer Electronics,Consumer Goods,Internet Service Providers, Website Hosting & Internet-related Services,Business Services,Telecommunications,Content & Collaboration Software"
3751,10.46,Computer software
3752,3.47,"Advertising & Marketing,Business Services,Search Engines & Internet Portals,Media & Internet"
3753,3.42,Internet
3754,8.36,Consumer Goods
3755,4.38,Computer Software
3756,10.46,Internet
3757,3.42,Medical Devices 
3758,3.45,Marketing and Advertising
3760,3.47,Printing
3761,10.49,Retail
3762,2.45,Internet
3763,8.27,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
3764,3.45,Internet
3765,3.42,Sports
3767,3.44,Information Services
3768,3.47,Computer Software
3769,3.48,Computer sonftware
3770,3.46,"Health, Wellness and Fitness"
3772,3.47,"Software Development & Design,Software,Information & Document Management,Business Services"
3773,3.43,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
3774,3.45,Banking
3775,10.46,Internet
3776,10.4,Aviation & Aerospace
3777,4.46,Consumer Electronics
3778,3.45,Newspapers
3779,10.47,internet
3780,10.46,"Pharmaceuticals,Healthcare,Drug Manufacturing & Research,Biotechnology"
3781,10.49,computer software
3782,2.45,Transportation/Trucking/Railroad
3783,3.45,"Software Development & Design,Software,Brokerage,Finance,Investment Banking"
3784,4.53,Entertainment
3785,3.46,Computer Software
3786,10.45,Government Administration
3787,3.46,Education Management
3788,3.44,Computer Software
3789,3.45,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
3791,3.44,Computer Software
3792,3.47,Music
3793,2.44,Computer Games
3794,3.44,"Software Development & Design,Software,Retail,Search Engines & Internet Portals,Media & Internet"
3795,4.42,Computer Software
3796,3.47,Design
3797,3.45,Design
3798,3.47,Information Technology and Services
3799,2.44,Financial Services
3800,10.46,Internet
3801,3.46,Online Media
3802,3.43,"Software Development & Design,Software,Engineering Software,Financial, Legal & HR Software"
3803,4.47,Computer Software
3804,3.46,"Manufacturing,Telecommunication Equipment,Wire & Cable"
3805,10.44,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
3806,4.45,Information Technology and Services
3807,2.46,Medical Devices
3808,10.48,Computer Software
3809,10.47,Marketing and Advertising
3810,10.44,E-Learning
3811,4.4,Computer Software
