,industry,total_score
1227,telecommunications,4.42
1228,business support services,10.43
1229,mobile,10.48
1230,financial services,10.47
1231,financial services,10.48
1232,information technology and services,10.48
1233,information technology and services,3.43
1234,oil and energy,10.48
1235,sporting goods,10.47
1236,telecommunications,10.46
1237,internet,3.44
1238,management consulting,3.47
1239,marketing and advertising,10.47
1240,civic and social organization,10.47
1241,venture capital and private equity,3.55
1242,internet,10.48
1243,oil and energy,3.46
1244,marketing and advertising,3.36
1245,publishing,10.48
1246,information technology and services,3.46
1247,oil and energy,10.48
1248,staffing and recruiting,10.46
1249,hospitality,10.47
1250,computer software,3.39
1251,textiles,10.48
1252,farming,3.42
1253,e-learning,3.45
1254,sporting goods,10.46
1255,media production,10.47
1256,marketing and advertising,10.47
1257,computer games,10.39
1258,computer software,3.48
1259,internet,10.43
1260,consumer electronics,7.41
1261,internet,3.43
1262,human resources,10.46
1263,medical practice,10.47
1264,financial services,10.47
1265,computer software,4.43
1266,nonprofit organization management,10.45
1267,entertainment,3.41
1268,human resources,10.49
1269,real estate,10.52
1270,human resources,10.48
1271,leisure,10.47
1272,travel and tourism,10.47
1273,information services,3.47
1274,computer software,3.51
1275,wine and spirits,3.46
1276,internet,3.42
1277,computer software,10.48
1278,internet,10.47
1279,consumer electronics,3.39
1280,information technology and services,2.44
1281,information technology and services,3.44
1282,information technology and services,3.44
1283,internet,4.39
1284,human resources and staffing,2.44
1285,business services,2.44
1286,information technology and services,3.45
1287,financial services,10.47
1288,information technology and services,10.43
1289,printing,10.46
1290,outsourcing/offshoring,10.43
1291,renewables and environment,3.45
1292,management consulting,3.44
1293,marketing and advertising,10.47
1294,computer software,3.47
1295,nonprofit organization management,3.43
1296,information technology and services,3.42
1297,electrical/electronic manufacturing,3.44
1298,software development and design,3.46
1299,software,3.46
1300,engineering software,3.46
1301,business intelligence software(bi),3.46
1302,enterprise resource planning software(erp),3.46
1303,computer software,3.44
1304,computer software,3.41
1305,computer software,10.42
1306,retail,3.45
1307,computer software,10.47
1308,computer software,4.44
1309,online media,2.46
1310,marketing and advertising,3.42
1311,e-learning,4.39
1312,computer software,2.44
1313,internet,10.47
1314,broadcast media,10.46
1315,computer games,10.5
1316,food and beverages,10.48
1317,machinery,2.47
1318,computer software,10.5
1319,market research,3.38
1320,airlines/aviation,3.44
1321,information services,10.44
1322,medical practice,3.43
1323,religious institutions,10.43
1324,software development and design,10.48
1325,software,10.48
1326,network security hardware and software,10.48
1327,computer equipment and peripherals,10.48
1328,manufacturing,10.48
1329,consumer electronics,10.48
1330,consumer goods,10.48
1331,business services,10.48
1332,engineering software,10.48
1333,finance app you can carry in your pocket,10.47
1334,computer software,2.5
1335,apparel and accessories,3.39
1336,retail,3.39
1337,information technology and services,3.45
1338,marketing and advertising,3.38
1339,leisure,3.41
1340,travel and tourism,3.41
1341,computer software,10.54
1342,apparel and fashion,10.47
1343,computer software,3.45
1344,software development and design,4.38
1345,software,4.38
1346,computer software,10.43
1347,oil and energy,10.47
1348,publishing,2.41
1349,media and internet,2.41
1350,computer software,10.47
1351,marketing and advertising,3.43
1352,professional training and coaching,10.47
1353,construction,10.46
1354,consumer services,10.46
1355,internet,10.43
1356,information technology and services,10.46
1357,legal services,10.45
1358,online advertising,10.46
1359,computer software,10.46
1360,internet,3.28
1361,consumer goods,10.48
1362,government administration,10.48
1363,information technology and services,10.47
1364,computer games,10.49
1365,higher education,10.44
1366,information technology and services,3.43
1367,internet,10.46
1368,information technology and services,10.47
1369,internet,10.46
1370,internet,10.47
1371,computer software,10.48
1372,e-learning,10.47
1373,information technology and services,3.47
1374,financial services,10.38
1375,computer software,10.47
1376,computer software,10.47
1377,insurance,10.47
1378,greater boston area,10.35
1379,information technology and services,10.48
1380,providence,10.24
1381,rhode island area,10.24
1382,entertainment,3.45
1383,custom software and technical consulting,10.47
1384,software,10.47
1385,information collection and delivery,10.47
1386,media and internet,10.47
1387,computer software,3.56
1388,legal services,10.46
1389,san francisco bay area,10.48
1390,internet,3.45
1391,food and beverages,10.47
1392,financial services,10.47
1393,information technology and services,3.48
1394,internet,10.47
1395,nonprofit organization management,3.45
1396,internet,3.44
1397,internet,3.48
1398,biotechnology,10.47
1399,computer software,4.47
1400,marketing and advertising,10.47
1401,computer games,10.47
1402,internet,10.48
1403,internet,10.47
1404,computer software,10.22
1405,marketing and advertising,10.46
1406,sporting goods,10.47
1407,computer software,3.45
1408,computer software,3.35
1409,computer software,10.48
1410,retail,10.47
1411,internet,3.44
1412,government administration,10.45
1413,internet,10.47
1414,telecommunications,10.47
1415,computer software,10.47
1416,computer software,3.45
1417,accounting,3.35
1418,sports,10.48
1419,health,10.48
1420,wellness and fitness,10.48
1421,e-learning,10.48
1422,hospital and health care,10.47
1423,computer software,3.47
1424,higher education,3.4
1425,information technology and services,10.46
1426,hospitality and health care,3.47
1427,information technology and services,10.47
1428,gambling and casinos,10.49
1429,higher education,10.45
1430,building materials,10.48
1431,hospital and health care,3.46
1432,staffing and recruiting,10.39
1433,computer networking,10.45
1434,information technology and services,10.48
1435,research,10.48
1436,travel agencies and services,2.42
1437,consumer services,2.42
1438,hospitality,2.42
1439,computer software,10.48
1440,computer software,10.52
1441,consumer services,10.47
1442,training,3.47
1443,education,3.47
1444,colleges and universities,3.47
1445,laundry and dry cleaning services,3.41
1446,consumer services,3.41
1447,telecommunications,10.47
1448,engineering software,3.48
1449,software development and design,3.48
1450,software,3.48
1451,internet,10.46
1452,computer software,2.44
1453,internet,10.49
1454,information technology and services,3.49
1455,sports,10.48
1456,computer software,3.21
1457,accounting,3.43
1458,computer software,8.38
1459,charitable organizations and foundations,10.47
1460,organizations,10.47
1461,education management,10.47
1462,retail,3.45
1463,information collection and delivery,10.47
1464,media and internet,10.47
1465,custom software and technical consulting,10.47
1466,software,10.47
1467,search engines and internet portals,10.47
1468,e-learning,10.48
1469,internet,3.47
1470,heavy machinery and vehicles,10.46
1471,internet,4.41
1472,maritime,3.42
1473,computer software,3.43
1474,software development and design,3.48
1475,software,3.48
1476,industrial machinery and equipment,3.48
1477,manufacturing,3.48
1478,test and measurement equipment,3.48
1479,computer equipment and peripherals,3.48
1480,electronics,3.48
1481,telecommunication equipment,3.48
1482,computer software,10.46
1483,education management,10.46
1484,software development and design,3.39
1485,software,3.39
1486,information and document management,3.39
1487,business services,3.39
1488,wineries and breweries,3.39
1489,food,3.39
1490,beverages and tobacco,3.39
1491,manufacturing,3.39
1492,computer software,10.47
1493,veterinary,10.47
1494,internet,3.43
1495,telecommunications,10.47
1496,information technology and services,10.47
1497,computer software,10.47
1498,internet,10.47
1499,computer software,10.44
1500,financial services,10.42
1501,internet,3.46
1502,computer software,3.46
1503,computer games,10.47
1504,automotive,10.48
1505,marketing and advertising,3.47
