,index,0
1144,its,940
1145,marketing and advertising,941
1146,computer software,942
1147,media production,943
1148,computer software,944
1149,internet,945
1150,internet,946
1151,computer software,947
1152,sports,948
1153,online media,950
1154,information technology and services,951
1155,nonprofit organization management,952
1156,internet,953
1157,telecommunication,954
1158,internet,955
1159,computer games,956
1160,consumer electronics,957
1161,information technology and services,958
1162,its,959
1163,internet,960
1164,computer software,961
1165,e-learning,963
1166,internet,964
1167,human resources,966
1168,information technology and services,967
1169,internet,968
1170,computer software,970
1171,financial services,971
1172,computer software,972
1173,information technology and services,973
1174,computer software,974
1175,computer software,976
1176,higher education,977
1177,internet,978
1178,professional training and coaching,979
1179,computer software,980
1180,broadcast media,981
1181,internet,982
1182,internet,983
1183,information technology and services,984
1184,publishing,987
1185,computer software,988
1186,computer software,991
1187,computer software,992
1188,information technology and services,993
1189,information technology and services,994
1190,internet,995
1191,gambling and casinos,996
1192,marketing and advertising,997
1193,information technology and services,998
1194,real estate,999
1195,information technology and services,1000
1196,internet,1002
1197,marketing and advertising,1003
1198,internet,1004
1199,marketing and advertising,1005
1200,telecommunications,1006
1201,retail,1007
1202,music,1008
1203,information technology and services,1009
1204,information services,1011
1205,information technology and services,1012
1206,marketing and advertising,1013
1207,marketing and advertising,1014
1208,food and beverages,1016
1209,food,1016
1210, beverages and tobacco,1016
1211,manufacturing,1016
1212,music and music related services,1016
1213,media and internet,1016
1214,computer software,1017
1215,computer software,1018
1216,health,1019
1217, wellness and fitness,1019
1218,computer software,1020
1219,telecommunications,1022
1220,internet,1023
1221,real estate,1024
1222,internet,1025
1223,computer software,1026
1224,computer software,1027
1225,information technology and services,1028
1226,online media,1030
1227,internet,1031
1228,telecommunications,1032
1229,business support services,1033
1230,mobile,1034
1231,financial services,1035
1232,financial services,1037
1233,information technology and services,1039
1234,information technology and services,1040
1235,oil and energy,1042
1236,sporting goods,1043
1237,telecommunications,1045
1238,internet,1047
1239,management consulting,1049
1240,marketing and advertising,1051
1241,"civic and social organization
",1052
1242,venture capital and private equity,1053
1243,internet,1054
1244,"oil and energy
",1055
1245,"marketing and advertising
",1056
1246,publishing,1057
1247,"information technology and services
",1058
1248,oil and energy,1059
1249,staffing and recruiting,1061
1250,hospitality,1062
1251,computer software,1063
1252,textiles,1064
1253,farming,1066
