,industry,total_score,dummies
1046,custom software and technical consulting,3.43,1
1047,software,3.43,1
1048,human resources,3.45,1
1049,health,10.51,1
1050,wellness and fitness,10.51,1
1051,government administration,10.44,1
1052,internet,3.29,1
1053,greater pittsburgh area,10.49,1
1054,logistics and supply chain,3.43,1
1055,e-learning,10.47,1
1056,internet,10.48,1
1057,information technology and services,10.48,1
1058,computer software,2.46,1
1059,education management,10.47,1
1060,entertainment,10.5,1
1061,internet,3.46,1
1062,computer software,3.44,1
1063,information technology and services,10.43,1
1064,internet,3.43,1
1065,higher education,3.45,1
1066,financial services,3.46,1
1067,marketing and advertising,3.42,1
1068,medical devices and equipment,2.46,1
1069,manufacturing,2.46,1
1070,information technology and services,3.42,1
1071,computer software,3.4,1
1072,information technology and services,3.48,1
1073,computer software,3.44,1
1074,telecommunication equipment,3.47,1
1075,manufacturing,3.47,1
1076,software development and design,3.47,1
1077,software,3.47,1
1078,telecommunications,3.47,1
1079,broadcast media,10.48,1
1080,printing,10.48,1
1081,computer software,10.46,1
1082,hospital and health care,10.47,1
1083,computer software,10.49,1
1084,libraries,10.49,1
1085,computer software,2.42,1
1086,software development and design,3.37,1
1087,software,3.37,1
1088,financial,3.37,1
1089,legal and hr software,3.37,1
1090,accounting and accounting services,3.37,1
1091,business services,3.37,1
1092,engineering software,3.37,1
1093,computer software,3.38,1
1094,software development and design,10.47,1
1095,software,10.47,1
1096,engineering software,10.47,1
1097,business intelligence software(bi),10.47,1
1098,enterprise resource planning software(erp),10.47,1
1099,music,10.47,1
1100,information technology and services,10.45,1
1101,internet,10.46,1
1102,events services,10.46,1
1103,accounting,3.44,1
1104,automotive,3.47,1
1105,entertainment,10.48,1
1106,information technology and services,3.44,1
1107,internet,10.49,1
1108,infomation tehnologies and services,10.47,1
1109,leisure,10.48,1
1110,travel and tourism,10.48,1
1111,entertainment,10.47,1
1112,staffing and recruiting,10.46,1
1113,information technology and services,10.47,1
1114,music,10.47,1
1115,computer software,3.46,1
1116,music instrument,3.45,1
1117,internet,3.44,1
1118,computer software,10.49,1
1119,telecommunications,10.44,1
1120,telephony and wireless,10.44,1
1121,e-learning,3.48,1
1122,computer software,10.46,1
1123,information technology and services,10.47,1
1124,financial services,3.19,1
1125,nonprofit organization management,10.48,1
1126,consumer services,3.44,1
1127,medical testing and clinical laboratories,3.42,1
1128,healthcare,3.42,1
1129,goverment administration,10.48,1
1130,internet,3.43,1
1131,information technology and services,10.48,1
1132,computer software,3.44,1
1133,information technology and services,3.43,1
1134,environmental services,3.44,1
1135,computer software,10.47,1
1136,computer software,10.46,1
1137,telecommunications,3.41,1
1138,utilities,10.49,1
1139,computer software,10.44,1
1140,entertainment,10.48,1
1141,accounting,3.44,1
1142,marketing and advertising,10.47,1
1143,its,3.43,1
1144,marketing and advertising,3.45,1
1145,computer software,10.46,1
1146,media production,10.48,1
1147,computer software,10.48,1
1148,internet,3.47,1
1149,internet,3.47,1
1150,computer software,3.22,1
1151,sports,10.51,1
1152,online media,10.47,1
1153,information technology and services,3.46,1
1154,nonprofit organization management,10.46,1
1155,internet,3.45,1
1156,telecommunication,3.46,1
1157,internet,10.47,1
1158,computer games,10.46,1
1159,consumer electronics,10.43,1
1160,information technology and services,3.47,1
1161,its,3.41,1
1162,internet,10.47,1
1163,computer software,10.46,1
1164,e-learning,3.44,1
1165,internet,3.43,1
1166,human resources,10.43,1
1167,information technology and services,3.44,1
1168,internet,10.46,1
1169,computer software,10.46,1
1170,financial services,10.47,1
1171,computer software,3.33,1
1172,information technology and services,2.46,1
1173,computer software,3.42,1
1174,computer software,3.32,1
1175,higher education,10.5,1
1176,internet,3.35,1
1177,professional training and coaching,10.47,1
1178,computer software,3.46,1
1179,broadcast media,3.43,1
1180,internet,8.33,1
1181,internet,10.46,1
1182,information technology and services,3.44,1
1183,publishing,10.47,1
1184,computer software,10.47,1
1185,computer software,10.49,1
1186,computer software,3.46,1
1187,information technology and services,3.43,1
1188,information technology and services,8.42,1
1189,internet,10.47,1
1190,gambling and casinos,3.42,1
1191,marketing and advertising,2.43,1
1192,information technology and services,3.46,1
1193,real estate,10.48,1
1194,information technology and services,10.47,1
1195,internet,3.43,1
1196,marketing and advertising,3.44,1
1197,internet,3.44,1
1198,marketing and advertising,2.43,1
1199,telecommunications,3.47,1
1200,retail,4.38,1
1201,music,3.45,1
1202,information technology and services,10.46,1
1203,information services,3.29,1
1204,information technology and services,10.47,1
1205,marketing and advertising,10.46,1
1206,marketing and advertising,10.47,1
1207,food and beverages,10.48,1
1208,food,10.48,1
1209,beverages and tobacco,10.48,1
1210,manufacturing,10.48,1
1211,music and music related services,10.48,1
1212,media and internet,10.48,1
1213,computer software,4.45,1
1214,computer software,10.49,1
1215,health,2.45,1
1216,wellness and fitness,2.45,1
1217,computer software,10.5,1
1218,telecommunications,10.45,1
1219,internet,3.48,1
1220,real estate,3.47,1
1221,internet,3.23,1
1222,computer software,10.46,1
1223,computer software,10.51,1
1224,information technology and services,3.44,1
1225,online media,3.45,1
1226,internet,10.5,1
1227,telecommunications,4.42,1
1228,business support services,10.43,1
1229,mobile,10.48,1
1230,financial services,10.47,1
1231,financial services,10.48,1
1232,information technology and services,10.48,1
1233,information technology and services,3.43,1
1234,oil and energy,10.48,1
1235,sporting goods,10.47,1
1236,telecommunications,10.46,1
1237,internet,3.44,1
1238,management consulting,3.47,1
1239,marketing and advertising,10.47,1
1240,civic and social organization,10.47,1
1241,venture capital and private equity,3.55,1
1242,internet,10.48,1
1243,oil and energy,3.46,1
1244,marketing and advertising,3.36,1
1245,publishing,10.48,1
1246,information technology and services,3.46,1
1247,oil and energy,10.48,1
1248,staffing and recruiting,10.46,1
1249,hospitality,10.47,1
1250,computer software,3.39,1
1251,textiles,10.48,1
1252,farming,3.42,1
1253,e-learning,3.45,1
1254,sporting goods,10.46,1
1255,media production,10.47,1
1256,marketing and advertising,10.47,1
1257,computer games,10.39,1
1258,computer software,3.48,1
1259,internet,10.43,1
1260,consumer electronics,7.41,1
1261,internet,3.43,1
1262,human resources,10.46,1
1263,medical practice,10.47,1
1264,financial services,10.47,1
1265,computer software,4.43,1
1266,nonprofit organization management,10.45,1
1267,entertainment,3.41,1
1268,human resources,10.49,1
1269,real estate,10.52,1
1270,human resources,10.48,1
1271,leisure,10.47,1
1272,travel and tourism,10.47,1
1273,information services,3.47,1
1274,computer software,3.51,1
1275,wine and spirits,3.46,1
1276,internet,3.42,1
1277,computer software,10.48,1
1278,internet,10.47,1
1279,consumer electronics,3.39,1
1280,information technology and services,2.44,1
1281,information technology and services,3.44,1
1282,information technology and services,3.44,1
1283,internet,4.39,1
1284,human resources and staffing,2.44,1
1285,business services,2.44,1
1286,information technology and services,3.45,1
1287,financial services,10.47,1
1288,information technology and services,10.43,1
1289,printing,10.46,1
1290,outsourcing/offshoring,10.43,1
1291,renewables and environment,3.45,1
1292,management consulting,3.44,1
1293,marketing and advertising,10.47,1
1294,computer software,3.47,1
1295,nonprofit organization management,3.43,1
1296,information technology and services,3.42,1
1297,electrical/electronic manufacturing,3.44,1
1298,software development and design,3.46,1
1299,software,3.46,1
1300,engineering software,3.46,1
1301,business intelligence software(bi),3.46,1
1302,enterprise resource planning software(erp),3.46,1
1303,computer software,3.44,1
1304,computer software,3.41,1
1305,computer software,10.42,1
1306,retail,3.45,1
1307,computer software,10.47,1
1308,computer software,4.44,1
1309,online media,2.46,1
1310,marketing and advertising,3.42,1
1311,e-learning,4.39,1
1312,computer software,2.44,1
1313,internet,10.47,1
1314,broadcast media,10.46,1
1315,computer games,10.5,1
1316,food and beverages,10.48,1
1317,machinery,2.47,1
1318,computer software,10.5,1
1319,market research,3.38,1
1320,airlines/aviation,3.44,1
1321,information services,10.44,1
1322,medical practice,3.43,1
1323,religious institutions,10.43,1
1324,software development and design,10.48,1
1325,software,10.48,1
1326,network security hardware and software,10.48,1
1327,computer equipment and peripherals,10.48,1
1328,manufacturing,10.48,1
1329,consumer electronics,10.48,1
1330,consumer goods,10.48,1
1331,business services,10.48,1
1332,engineering software,10.48,1
1333,finance app you can carry in your pocket,10.47,1
1334,computer software,2.5,1
1335,apparel and accessories,3.39,1
1336,retail,3.39,1
1337,information technology and services,3.45,1
1338,marketing and advertising,3.38,1
1339,leisure,3.41,1
1340,travel and tourism,3.41,1
1341,computer software,10.54,1
1342,apparel and fashion,10.47,1
1343,computer software,3.45,1
1344,software development and design,4.38,1
1345,software,4.38,1
1346,computer software,10.43,1
1347,oil and energy,10.47,1
1348,publishing,2.41,1
1349,media and internet,2.41,1
1350,computer software,10.47,1
1351,marketing and advertising,3.43,1
1352,professional training and coaching,10.47,1
1353,construction,10.46,1
1354,consumer services,10.46,1
1355,internet,10.43,1
1356,information technology and services,10.46,1
1357,legal services,10.45,1
1358,online advertising,10.46,1
1359,computer software,10.46,1
1360,internet,3.28,1
1361,consumer goods,10.48,1
1362,government administration,10.48,1
1363,information technology and services,10.47,1
1364,computer games,10.49,1
1365,higher education,10.44,1
1366,information technology and services,3.43,1
1367,internet,10.46,1
1368,information technology and services,10.47,1
1369,internet,10.46,1
1370,internet,10.47,1
1371,computer software,10.48,1
1372,e-learning,10.47,1
1373,information technology and services,3.47,1
1374,financial services,10.38,1
1375,computer software,10.47,1
1376,computer software,10.47,1
1377,insurance,10.47,1
1378,greater boston area,10.35,1
1379,information technology and services,10.48,1
1380,providence,10.24,1
1381,rhode island area,10.24,1
1382,entertainment,3.45,1
1383,custom software and technical consulting,10.47,1
1384,software,10.47,1
1385,information collection and delivery,10.47,1
1386,media and internet,10.47,1
1387,computer software,3.56,1
1388,legal services,10.46,1
1389,san francisco bay area,10.48,1
1390,internet,3.45,1
1391,food and beverages,10.47,1
1392,financial services,10.47,1
1393,information technology and services,3.48,1
1394,internet,10.47,1
1395,nonprofit organization management,3.45,1
1396,internet,3.44,1
1397,internet,3.48,1
1398,biotechnology,10.47,1
1399,computer software,4.47,1
1400,marketing and advertising,10.47,1
1401,computer games,10.47,1
1402,internet,10.48,1
1403,internet,10.47,1
1404,computer software,10.22,1
1405,marketing and advertising,10.46,1
1406,sporting goods,10.47,1
1407,computer software,3.45,1
1408,computer software,3.35,1
1409,computer software,10.48,1
